"ID","ISDELETED","MASTERRECORDID","NAME","PARENTID","BILLINGSTREET","BILLINGCITY","BILLINGSTATE","BILLINGPOSTALCODE","BILLINGCOUNTRY","BILLINGLATITUDE","BILLINGLONGITUDE","BILLINGADDRESS","SHIPPINGSTREET","SHIPPINGCITY","SHIPPINGSTATE","SHIPPINGPOSTALCODE","SHIPPINGCOUNTRY","SHIPPINGLATITUDE","SHIPPINGLONGITUDE","SHIPPINGADDRESS","PHONE","FAX","WEBSITE","PHOTOURL","DESCRIPTION","SITE","OWNERID","CREATEDDATE","CREATEDBYID","LASTMODIFIEDDATE","LASTMODIFIEDBYID","SYSTEMMODSTAMP","LASTACTIVITYDATE","LASTVIEWEDDATE","LASTREFERENCEDDATE","JIGSAWCOMPANYID","BVN_TYPE__C","BVN_INDUSTRY__C"
"00120000006HlMBAA0","false","","AXA","","750 Collins Street","Melbourne","VIC","3008","","","","","750 Collins Street","Melbourne","VIC","3008","","","","","+61 3 8688 3911","+61 3 9614 2240","www.axa.com.au","","","Melbourne","00520000000zWmAAAU","2007-09-19T03:07:52.000Z","00520000000sqhLAAQ","2011-04-21T06:30:33.000Z","00520000000wb71AAA","2011-04-21T06:30:33.000Z","","","","","Personal contact","Finance"
"00120000006HlMCAA0","false","","Davis Langdon","001D000000rtNDdIAM","Level 20
350 Queen Street","Melbourne","VIC","3000","","","","","Level 20
350 Queen Street","Melbourne","VIC","3000","","","","","03 9933 8800","03 9933 8890","www.davislangdon.com.au","","","Melbourne","00520000000zWmAAAU","2007-09-19T03:07:52.000Z","00520000000sqhLAAQ","2012-06-18T01:18:21.000Z","005D0000001bPy2IAE","2012-06-18T01:18:21.000Z","","","","","Project consultant","Property"
"00120000006HlMDAA0","false","","Becton Property Group Ltd","","Level 6
470 St Kilda Road","Melbourne","VIC","3004","","","","","Level 6
470 St Kilda Road","Melbourne","VIC","3004","","","","","03 9832 9000","03 9832 9090","www.becton.com.au","","","Melbourne","00520000000zWmAAAU","2007-09-19T03:07:52.000Z","00520000000sqhLAAQ","2009-02-24T22:46:04.000Z","00520000000rL8NAAU","2009-02-24T22:46:04.000Z","","","","","Property Developer/Owner","Property"
"00120000006HlMEAA0","false","","Clinical Epidemiology Unit","001D000000rO0buIAC","Flinders Medical Centre","Bedford Park","SA","5042","","","","","Level 7
Flinders Medical Centre","Bedford Park","SA","5042","","","","","08 8204 5251","08 8204 6659","www.flinders.sa.gov.au","","","Adelaide","00520000000zWmAAAU","2007-09-19T03:07:52.000Z","00520000000sqhLAAQ","2012-06-13T05:00:44.000Z","005D0000001bXCwIAM","2012-06-13T05:00:44.000Z","","","","","Personal contact","Health;Property"
"00120000006HlMFAA0","false","","Clifton Property Group","001D000000rO0o7IAC","Level 2
25 Palmerston Crescent","South Melbourne","VIC","3205","","","","","Level 2
25 Palmerston Crescent","South Melbourne","VIC","3205","","","","","03 9038 1772","03 9645 8990","www.cliftonpg.com.au","","","Melbourne","00520000000zWmAAAU","2007-09-19T03:07:52.000Z","00520000000sqhLAAQ","2012-06-13T04:59:03.000Z","005D0000001bXCwIAM","2012-06-13T04:59:03.000Z","","","","","",""
"00120000006HlMHAA0","false","","Walton Construction Pty Ltd","","Level 2
10 Yarra Street","South Yarra","VIC","3141","","","","","Level 2
10 Yarra Street","South Yarra","VIC","3141","","","","","039832 6900","03 9832 6901","www.walterconstruction.com.au","","","Melbourne","00520000000wb6mAAA","2007-09-19T03:07:52.000Z","00520000000sqhLAAQ","2008-08-05T05:37:30.000Z","00520000000xgBtAAI","2008-08-05T05:37:30.000Z","","","","","Construction Company","Property"
"00120000006HlMIAA0","false","","Contour Consultants Australia Pty Ltd","","PO Box 1040","Carlton","VIC","3053","","","","","Level 1
283 Drummond Street","Carlton","VIC","3053","","","","","03 9347 6100","03 9347 6860","www.contour.net.au","","","Melbourne","00520000000zWmAAAU","2007-09-19T03:07:52.000Z","00520000000sqhLAAQ","2009-02-24T22:46:04.000Z","00520000000rL8NAAU","2009-02-24T22:46:04.000Z","","","","","Project consultant","Property"
"00120000006HlMKAA0","false","","Australian Institute of Architects","001D000000oIMvFIAW","Level 1
41 Exhibition Street","Melbourne","VIC","3000","","","","","Level 1
41 Exhibition Street","Melbourne","VIC","3000","","","","","03 8620 3866","03 8620 3886","www.raia.com.au","","","Victoria Chapter","00520000000zWmAAAU","2007-09-19T03:07:52.000Z","00520000000sqhLAAQ","2012-03-06T02:44:48.000Z","005D0000001bIi2IAE","2012-03-06T02:44:48.000Z","","","","","Professional Association","Architecture and Design"
"00120000006HlMMAA0","false","","Aspen Group Limited","001D000000oJY1HIAW","47 Waymouth Street","Adelaide","SA","5000","","","","","47 Waymouth Street","Adelaide","SA","5000","","","","","08 8211 7799","","www.aspengroup.com.au","","Caversham Property Developments was brought out by the Aspen Group","Adelaide","00520000000zWmAAAU","2007-09-19T03:07:52.000Z","00520000000sqhLAAQ","2012-03-13T04:21:15.000Z","005D0000001bXCwIAM","2012-03-13T04:21:15.000Z","","","","","",""
"00120000006HlMNAA0","false","","Hansen Yuncken","001D000000rtwujIAA","Level 3, 479 St. Kilda Road","Melbourne","VIC","3004","","","","","25 Huntingdale Road","Burwood","VIC","3125","","","","","03 9831 6500","03 9831 6599","www.hansenyuncken.com.au","","","Melbourne","00520000000zWmAAAU","2007-09-19T03:07:52.000Z","00520000000sqhLAAQ","2012-07-18T02:01:33.000Z","005D0000001bXCwIAM","2012-07-18T02:01:33.000Z","","","","","Construction Company","Property"
"00120000006HlMOAA0","false","","Ernst & Young","001D000000ruD4JIAU","PO Box 7878 
Waterfront Place","Brisbane","QLD","4001","","","","","Level 5,
Waterfront Place
1 Eagle Street","Brisbane","QLD","4000","","","","","07 3011 3333","07 3011 3100","http://www.ey.com/global/content.nsf/Australia/Home","","","Brisbane","00520000000zWmAAAU","2007-09-19T03:07:52.000Z","00520000000sqhLAAQ","2012-09-19T05:52:01.000Z","005D0000001bIi2IAE","2012-09-19T05:52:01.000Z","","","","","","Finance;Property"
"00120000006HlMPAA0","false","","Arup","001D000000oIN0vIAG","Level 17
1 Nicholson Street","Melbourne","VIC","3000","","","","","Level 17
1 Nicholson Street","Melbourne","VIC","3000","","","","","03 9668 5500","03 9663 1546","www.arup.com/australasia","","","Melbourne","005D0000001aGzhIAE","2007-09-19T03:07:52.000Z","00520000000sqhLAAQ","2012-04-03T05:11:10.000Z","005D0000001aGzhIAE","2012-04-03T05:11:10.000Z","","","","","Project consultant","Architecture and Design"
"00120000006HlMQAA0","false","","Department of Human Services","001D000000ruCdCIAU","50 Lonsdale Street","Melbourne","VIC","3000","","","","","50 Lonsdale Street","Melbourne","VIC","3000","","","","","1300 650 172","","www.dhs.vic.gov.au","","","Melbourne","00520000000zWmAAAU","2007-09-19T03:07:52.000Z","00520000000sqhLAAQ","2012-06-21T01:38:04.000Z","005D0000001bXCwIAM","2012-06-21T01:38:04.000Z","","","","","",""
"00120000006HlMRAA0","false","","University of Melbourne","","Grattan Street","Parkville","VIC","3052","","","","","Grattan Street","Parkville","VIC","3052","","","","","03 8344 4000","03 8344 5104","www.unimelb.edu.au","","","Melbourne","00520000000wb6mAAA","2007-09-19T03:07:52.000Z","00520000000sqhLAAQ","2008-08-13T06:08:34.000Z","00520000000xQUYAA2","2008-08-13T06:08:34.000Z","","","","","University","Education"
"00120000006HlMSAA0","false","","Buxton Group Pty Ltd","","Suite 3
16 Salmon Street","Port Melbourne","VIC","3207","","","","","Suite 3
16 Salmon Street","Port Melbourne","VIC","3207","","","","","03 9644 7000","03 9644 7044","www.buxtongroup.com.au","","","Melbourne","00520000000zWmAAAU","2007-09-19T03:07:52.000Z","00520000000sqhLAAQ","2009-02-24T22:46:04.000Z","00520000000rL8NAAU","2009-02-24T22:46:04.000Z","","","","","Property Developer/Owner","Property"
"00120000006HlMTAA0","false","","ISS Facility Services","","Level 1
22 Salmon Street","Port Melbourne","VIC","3207","","","","","","","","","","","","","03 9608 8000","","www.au.issworld.com","","","Melbourne","00520000000zWmAAAU","2007-09-19T03:07:52.000Z","00520000000sqhLAAQ","2009-10-19T00:08:12.000Z","00520000000zWmAAAU","2009-10-19T00:08:12.000Z","","","","","","Property"
"00120000006HlMUAA0","false","","Industry Superannuation Property Trust","001D000000rtwwkIAA","Level 13
114 William Street","Melbourne","VIC","3000","","","","","Level 13
114 William Street","Melbourne","VIC","3000","","","","","03 8601 6666","03 8801 6667","www.ispt.net.au","","","Melbourne","00520000000zWmAAAU","2007-09-19T03:07:52.000Z","00520000000sqhLAAQ","2012-06-19T01:55:12.000Z","005D0000001bPy2IAE","2012-06-19T01:55:12.000Z","","","","","Property Developer/Owner","Finance;Property"
"00120000006HlMVAA0","false","","Vision Design","00120000006HlOJAA0","Level 5
Midtown Tower
246 Bourke Street","Melbourne","VIC","3000","","","","","Level 5
Midtown Tower
246 Bourke Street","Melbourne","VIC","3000","","","","","03 8663 7880","03 8663 7800","www.visiondesign.com.au","","","Melbourne","00520000000wb6mAAA","2007-09-19T03:07:52.000Z","00520000000sqhLAAQ","2008-07-23T04:42:51.000Z","00520000000wb71AAA","2008-07-23T04:42:51.000Z","","","","","",""
"00120000006HlMWAA0","false","","Fifteen Foundation Australia","","GPO Box 190","Melbourne","VIC","3001","","","","","Level 1
103 Flinders Lane","Melbourne","VIC","3000","","","","","03 8648 6010","03 8648 6011","www.fifteenfoundation.org.au","","","Melbourne","00520000000zWmAAAU","2007-09-19T03:07:52.000Z","00520000000sqhLAAQ","2009-02-24T22:46:04.000Z","00520000000rL8NAAU","2009-02-24T22:46:04.000Z","","","","","","Not for Profit"
"00120000006HlMXAA0","false","","Architecture Media","001D000000oIMx6IAG","Level 6
163 Eastern Road","South Melbourne","VIC","3205","","","","","Level 6
163 Eastern Road","South Melbourne","VIC","3205","","","","","03 8699 1000","03 96962617","www.archmedia.com.au","","","Melbourne","00520000000zWmAAAU","2007-09-19T03:07:52.000Z","00520000000sqhLAAQ","2012-03-06T02:16:04.000Z","005D0000001bIi2IAE","2012-03-06T02:16:04.000Z","","","","","Media","Architecture and Design"
"00120000006HlMYAA0","false","","Napier & Blakeley","","Level 13
90 Collins Street","Melbourne","VIC","3000","","","","","Level 13
90 Collins Street","Melbourne","VIC","3000","","","","","03 9915 6300","03 9915 6399","www.napierblakeley.com","","","Melbourne","00520000000wb6mAAA","2007-09-19T03:07:52.000Z","00520000000sqhLAAQ","2009-03-30T04:37:18.000Z","00520000000wlM6AAI","2009-03-30T04:37:18.000Z","","","","","",""
"00120000006HlMZAA0","false","","Urbis Pty Ltd","001D000000ru6ieIAA","Level 12
120 Collins Street","Melbourne","VIC","3000","","","","","Level 12
120 Collins Street","Melbourne","VIC","3000","","","","","03 8663 4826","03 8663 4999","www.urbis.com.au","","","Melbourne","005D0000001aGzhIAE","2007-09-19T03:07:52.000Z","00520000000sqhLAAQ","2012-06-20T05:35:55.000Z","005D0000001bPy2IAE","2012-06-20T05:35:55.000Z","","","","","Leasing agent/tenant advocate","Property"
"00120000006HlMaAAK","false","","Indesign Magazine","","Level 1
50 Marshall Street","Surry Hills","NSW","2010","","","","","Level 1
50 Marshall Street","Surry Hills","NSW","2010","","","","","02 9368 0150","02 9368 0289","www.indesignlive.com","","Indesign magazine is published:
End of November
February 
May
August","Sydney","00520000000zWmAAAU","2007-09-19T03:07:52.000Z","00520000000sqhLAAQ","2010-10-18T01:38:00.000Z","00520000000wb6wAAA","2010-10-18T01:43:00.000Z","","","","","Media","Architecture and Design"
"00120000006HlMbAAK","false","","Rider Levett Bucknall","001D000000rtxKMIAY","Level 13
380 St Kilda Road","Melbourne","VIC","3004","","","","","Level 13
380 St Kilda Road","Melbourne","VIC","3004","","","","","03 9690 6111","03 9690 6577","www.rlb.com","","Formerly Rider Hunt","Melbourne","00520000000wb6mAAA","2007-09-19T03:07:52.000Z","00520000000sqhLAAQ","2012-06-19T07:01:43.000Z","005D0000001bPy2IAE","2012-06-19T07:01:43.000Z","2008-03-31","","","","Project consultant","Property"
"00120000006HlMcAAK","false","","Melbourne Grammar School","","47 Domain Road","Melbourne","VIC","3004","","","","","47 Domain Road","Melbourne","VIC","3004","","","","","03 9865 7555","03 9865 7577","www.mgs.vic.edu.au","","","Melbourne","00520000000zWmAAAU","2007-09-19T03:07:52.000Z","00520000000sqhLAAQ","2009-02-24T22:46:04.000Z","00520000000rL8NAAU","2009-02-24T22:46:04.000Z","","","","","School","Education"
"00120000006HlMdAAK","false","","Qantas Airways Limited","001D000000rtxGOIAY","Level 12
8 Exhibition Street","Melbourne","VIC","3000","","","","","Level 12
8 Exhibition Street","Melbourne","VIC","3000","","","","","","","www.qantas.com.au","","","Melbourne","00520000000wb6mAAA","2007-09-19T03:07:52.000Z","00520000000sqhLAAQ","2012-06-19T06:51:15.000Z","005D0000001bPy2IAE","2012-06-19T06:51:15.000Z","","","","","","Transport and Infrastructure"
"00120000006HlMeAAK","false","","Aquenta Consulting","001D000000oIMzEIAW","Level 4
441 St Kilda Road","Melbourne","VIC","3004","","","","","Level 4
441 St Kilda Road","Melbourne","VIC","3004","","","","","03 9867 3011","03 9867 5950","www.aquenta.com.au","","","Melbourne","00520000000zWmAAAU","2007-09-19T03:07:53.000Z","00520000000sqhLAAQ","2012-03-06T02:09:22.000Z","005D0000001bIi2IAE","2012-03-06T02:09:22.000Z","","","","","Project consultant","Property"
"00120000006HlMfAAK","false","","Probuild Constructions","","230 Albert Road","South Melbourne","VIC","3205","","","","","230 Albert Road","South Melbourne","VIC","3205","","","","","03 9693 8222","03 9693 8233","www.probuild.com.au","","","Melbourne","00520000000wb6mAAA","2007-09-19T03:07:53.000Z","00520000000sqhLAAQ","2008-08-05T04:39:55.000Z","00520000000xgBtAAI","2008-08-05T04:39:55.000Z","","","","","Construction Company","Property"
"00120000006HlMgAAK","false","","Wilde and Woollard","001D000000ru6kQIAQ","Level 4
37-41 Prospect Street","Box Hill","VIC","3128","","","","","Level 4
37-41 Prospect Street","Box Hill","VIC","3128","","","","","03 9899 0411","03 9890 3123","www.wildeandwoollard.com.au","","","Melbourne","00520000000wb6mAAA","2007-09-19T03:07:53.000Z","00520000000sqhLAAQ","2012-06-20T05:46:35.000Z","005D0000001bPy2IAE","2012-06-20T05:46:35.000Z","","","","","Project consultant","Property"
"00120000006HlMiAAK","false","","DLA Phillips Fox","001D000000ruChOIAU","Level 21
140 William Street","Melbourne","VIC","3000","","","","","Level 21
140 William Street","Melbourne","VIC","3000","","","","","03 9274 5000","03 9274 5111","www.dlaphillipsfox.com","","","Melbourne","00520000000zWmAAAU","2007-09-19T03:07:53.000Z","00520000000sqhLAAQ","2012-06-21T02:33:37.000Z","005D0000001bXCwIAM","2012-06-21T02:33:37.000Z","","","","","","Legal"
"00120000006HlMjAAK","false","","ING Real Estate","","Level 6 & 11
345 George Street","Sydney","NSW","2000","","","","","Level 6
345 George Street","Sydney","NSW","2000","","","","","02 9033 1000","","www.ingrealestate.com.au","","","Sydney","00520000000zWmAAAU","2007-09-19T03:07:53.000Z","00520000000sqhLAAQ","2011-05-25T00:31:29.000Z","00520000000wb6wAAA","2011-05-25T00:31:29.000Z","","","","","Property Developer/Owner","Property"
"00120000006HlMkAAK","false","","Slade Group","","Level 7
15 William Street","Melbourne","VIC","3000","","","","","","","","","","","","","03 9235 5100","03 9235 5102","www.sladegroup.com.au","","","Melbourne","00520000000zWmAAAU","2007-09-19T03:07:53.000Z","00520000000sqhLAAQ","2009-10-16T07:25:24.000Z","00520000000zWmAAAU","2009-10-16T07:25:24.000Z","2008-03-25","","","","Business consultant","Other"
"00120000006HlMmAAK","false","","Lend Lease","001D000000oHTcKIAW","Level 2, The Gauge, 825 Bourke St, Victoria Harbour","Docklands","VIC","3008","","","","","Level 2, The Gauge, 825 Bourke St, Victoria Harbour","Docklands","VIC","3008","","","","","03 9643 0000","","http://www.lendlease.com/worldwide/home.aspx","","was Baulderstone Pty Ltd - Melbourne.","Melbourne","00520000000zWmAAAU","2007-09-19T03:07:53.000Z","00520000000sqhLAAQ","2014-12-04T07:02:00.000Z","00520000000wlM6AAI","2014-12-04T07:02:00.000Z","2008-04-14","","","","Construction Company","Property"
"00120000006HlMnAAK","false","","AMP Capital Investors","001D000000oIN9dIAG","535 Bourke Street","Melbourne","VIC","3000","","","","","Level 6
535 Bourke Street","Melbourne","VIC","3000","","","","","1800 658 404","","www.ampcapitalinvestors.com.au","","","Melbourne","00520000000zWmAAAU","2007-09-19T03:07:53.000Z","00520000000sqhLAAQ","2012-03-06T05:13:59.000Z","005D0000001bXCwIAM","2012-03-06T05:13:59.000Z","","","","","Other","Finance"
