,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,VisionClientID,EpicorCustomerID,ClientNumber,Name,Type,Status,WebSite,Memo,CurrentStatus,ClientInd,VendorInd,LinkedVendor,VisionClientAddressID,AddressDescription,Address2,Address3,Address4,City,State,Zip,Country,Phone,FAX,GoogleAddress,GooglePhone,googleExtras,googled
26,26,26,26,ADMIN486509637893,INSIGH10,1098,Insight Interiors,,A,,,Existing,Y,N,,2B1BDECD-F666-4544-9499-ACFC3CEB5AAA,Default,,,,Archerfield,,4108,AU,,,"Address: 105 Colebard St W, Acacia Ridge QLD 4110",Phone:(07) 3274 6810, | See outside | Insight Interiors | Interior Designer | Formula Interiors | Empire Business Furniture | Isis Group Australia Pty LTD,True
27,27,27,27,ADMIN486509637894,MACKAY20,733,Roz Mackay,,A,,,Existing,Y,N,,9B931F83-B3DB-448A-9DB2-B0C59C82B84C,Default,,,,Armadale,,,AU,400982450,,,,,
28,28,28,28,ADMIN486509637895,ELLABA20,379,Ella Bache,,A,,,Existing,Y,N,,64A89A33-F420-490E-9EAB-0022F545D4D9,Default,,,,Artarmon,,2064,AU,294325016,294397150,,,,
29,29,29,29,ADMIN486509637896,CLARKE10,446,Clark Enterprises,,A,,,Existing,Y,N,,21029E44-95E4-4BA2-8908-675F6C02BC03,Default,,,,Ascot,QLD,4007,AU,,,,,,
30,30,30,30,ADMIN486509637897,SHMBRI10,1259,shm,,A,,,Existing,Y,N,,516C6169-9033-4310-88E8-4A624323DA38,Default,138 Racecourse Rd,,,Ascot,,,AU,733982920,,,,,
31,31,31,31,ADMIN486509637898,PAYNTE20,218,Paynter Dixon Construction,,A,,,Existing,Y,N,,A9C08356-2BB2-477A-922E-D97D2957E644,Default,,,,Ashfield,NSW,2131,AU,,,,,,
32,32,32,32,ADMIN486509637899,SPIRES10,704,Jim and Sue Spires,,A,,,Existing,Y,N,,63DCA682-0B26-4E41-ABC3-4E4EE3CADE17,Default,,,,Ashgrove,,,AU,738769011,,,,,
33,33,33,33,ADMIN486509637900,BISHOC10,533,Dr Chris Bishop,,A,,,Existing,Y,N,,EDD616DA-571A-4A64-979F-D6ECE9CEDB1B,Default,,,,Ashgrove West,QLD,4060,AU,,,,,,
34,34,34,34,ADMIN486509637901,OCTANZ20,19,OCTA Associates New Zealand,,A,,,Existing,Y,N,,F4362E9E-19F9-42E2-BBA0-88392E3924D5,Default,,,,Auckland,,,NZ,,,,,,
35,35,35,35,ADMIN486509637902,SMALES20,98,Smales Farm Technology Office Park,,A,,,Existing,Y,N,,67CBCDC5-DB71-49C1-A52A-646645982444,Default,North Shore City,,,Auckland,,,NZ,,,,,,
36,36,36,36,ADMIN486509637903,NORTHC20,194,Northcote Road 1 Holdings Ltd,,A,,,Existing,Y,N,,453F7DA0-3D17-4058-9505-3D7FD6BDE0CE,Default,North Shore,,,Auckland,,,NZ,+64 9 488 2305,+64 9 488 2303,,,,
37,37,37,37,ADMIN486509637904,AUCKLA20,575,Auckland Regional Transport,,A,,,Existing,Y,N,,629ED9FA-1007-46EB-AA88-0AB26CA68F60,Default,,,,Auckland,,,NZ,,,,,,
38,38,38,38,ADMIN486509637905,AIRNZS20,688,Air New Zealand,,A,,,Existing,Y,N,,EACD3CB5-0D83-4A31-A988-5FEE8391EC43,Default,,,,Auckland,,1142,NZ,+64 9 336 2812,,,,,
39,39,39,39,ADMIN486509637906,CHRIST20,726,Christchurch International Airport,,A,,,Existing,Y,N,,30792BC7-E64F-43C9-BE5B-436FB6C32DB2,Default,,,,Auckland,,1140,NZ,+64 9 379 3805,,,,,
40,40,40,40,ADMIN486509637907,AUCTHE20,792,Auckland Theatre Company,,A,,,Existing,Y,N,,1C4AB6D2-671A-413E-B2D0-1C04A5AD03C6,Default,,,,Auckland,,,NZ,+64 9 309 0390,,,,,
41,41,41,41,ADMIN486509637908,JASMAX20,889,Jasmax Ltd,,A,,,Existing,Y,N,,2CFFA1A1-FC6C-435A-AD2E-293B72FAE303,Default,,,,Auckland,,,NZ,+64 9 366 9625,+64 9 366 9629,,,,
42,42,42,42,ADMIN486509637909,DNZPRO20,909,DNZ Property Fund Ltd,,A,,,Existing,Y,N,,1BC56140-3C9F-42F0-A7AF-49585F8F4A76,Default,,,,Auckland,,1141,NZ,+64 9 913 2817,+64 9 912 2693,,,,
43,43,43,43,ADMIN486509637910,MINEDU20,996,Ministry of Education,,A,,,Existing,Y,N,,B21F71DE-3EDF-49E5-86EF-3B8E42957E2F,Default,,,,Auckland,,,NZ,,,,,,
44,44,44,44,ADMIN486509637911,ARCHIA20,1190,Architectus Auckland,,A,,,Existing,Y,N,,BF441F58-6874-41DB-9EBF-422170ECB703,Default,,,,Auckland,,,NZ,+64 9 307 5970,,,,,
45,45,45,45,ADMIN486509637912,CCFIJI20,1201,BA Chamber of Commerce,,A,,,Existing,Y,N,,88716A8B-47C4-4859-8A5A-DCF501AED935,Default,,,,BA,,,FJ,,,,,,
46,46,46,46,ADMIN486509637913,WOODWA20,1255,Matthew Woodward,,A,,,Existing,Y,N,,05790198-0783-46C3-B98A-86534E65CE94,Default,383 Sydney Road,,,Balgowlah,,2093,AU,,,,,,
47,47,47,47,ADMIN486509637914,DEECDV40,638,DEECD,,A,,,Existing,Y,N,,E7F7E121-E60B-49B0-8632-16A8DE7056DD,Default,,,,Ballarat,VIC,3353,AU,,,,,,
48,48,48,48,ADMIN486509637915,BALLAR40,699,City of Ballarat,,A,,,Existing,Y,N,,F2BD4F4C-CBD2-4A43-A241-D769A37B2BEC,Default,,,,Ballarat,VIC,3353,AU,353205500,,,,,
49,49,49,49,ADMIN486509637916,UNIBAL40,1084,University of Ballarat,,A,,,Existing,Y,N,,8D8CBD3D-2980-440E-A123-8CE4E22138B1,Default,,,,Ballarat,VIC,3353,AU,1300225527,,,,,
50,50,50,50,ADMIN486509637917,UNIBAL20,1151,University of Ballarat,,A,,,Existing,Y,N,,0C599358-A69E-4AA7-B50E-62D1D4ADF5FA,Default,,,,Ballarat,VIC,3353,AU,,,,,,
51,51,51,51,ADMIN486509637918,BALLIN10,551,Ballina Shire Council,,A,,,Existing,Y,N,,6AE80E38-B384-4D7A-AD7F-F37BB2D94760,Default,,,,Ballina,,2478,AU,266864444,,,,,
52,52,52,52,ADMIN486509637919,ARDILL10,564,Ardill Payne & Partners,,A,,,Existing,Y,N,,28395E9B-4D92-4DC5-967C-1591359D41A5,Default,,,,Ballina,,2478,AU,,,,,,
53,53,53,53,ADMIN486509637920,LACHLA20,301,Lachlan Project Management,,A,,,Existing,Y,N,,E63BD266-6B20-4CCD-AE9F-3C787C7A6FE7,Default,,,,Balmain,NSW,2041,AU,,,,,,
54,54,54,54,ADMIN486509637921,TANKIM20,1212,Kim Tan,,A,,,Existing,Y,N,,C7047020-55A5-4BEF-8757-8AA34E86A1CB,Default,,,,Balmain,NSW,,AU,419485536,,,,,
55,55,55,55,ADMIN486509637922,BEAMON20,1148,Beamont Partnership,,A,,,Existing,Y,N,,813FF110-7132-410E-A696-667CCEE86780,Default,Liberty Square,287 Silon Rd,,Bangkok,,,AU,,,,,,
56,56,56,56,ADMIN486509637923,BEAUMO20,1149,Beaumont Partnership,,A,,,Existing,Y,N,,8C09C7BB-CB93-4CE5-B999-C0C0EC4B2750,Default,Liberty Square,287 Silon Rd,,Bangkok,,,TH,,,,,,
57,57,57,57,ADMIN486509637924,BANYUL40,719,Banyule City Council,,A,,,Existing,Y,N,,E0E60DF2-3053-4904-8202-E8C05A63D12D,Default,,,,Banyule,VIC,,AU,394904501,,,,,
58,58,58,58,ADMIN486509637925,DOMAGP20,1265,DOMA Group,,A,,,Existing,Y,N,,8BE59B92-A030-48F5-B511-600C55166C68,Default,,,,Barton,ACT,,AU,,,,,,
59,59,59,59,ADMIN486509637926,DFATRA30,9,Department Of Foreign Affairs & Trade,,A,,,Existing,Y,N,,35435541-B429-4012-AACB-E02EB13D0358,Default,,,,Barton,ACT,2600,AU,,,,,,
60,60,60,60,ADMIN486509637927,STURTU30,112,Charles Sturt University,,A,,,Existing,Y,N,,AFAF1F03-2957-454B-992E-CEE12D7F8E55,Default,,,,Barton,ACT,2600,AU,,,,,,
61,61,61,61,ADMIN486509637928,CSUNIV20,461,Charles Sturt University,,A,,,Existing,Y,N,,B5E6F96F-8FC4-48A4-BC21-F34E158DCA0D,Default,,,,Barton,ACT,2600,AU,,,,,,
62,62,62,62,ADMIN486509637929,ATTORN30,574,Attorney Generals Department A,,A,,,Existing,Y,N,,A05C8C30-0313-42D2-88FD-0A17231765B1,Default,,,,Barton,ACT,2600,AU,,,,,,
63,63,63,63,ADMIN486509637930,SANDRI20,1060,Sandrick Project Directions,,A,,,Existing,Y,N,,E3E8FBB7-B19A-46DB-961A-6C8C0C771950,Default,,,,Baulkham Hills,,,AU,,,,,,
64,64,64,64,ADMIN486509637931,SIEMEN10,1059,Siemens Ltd Australia,,A,,,Existing,Y,N,,FA358993-D771-4E00-B965-A59570250BC0,Default,,,,Bayswater,,3153,AU,397212436,,,,,
65,65,65,65,ADMIN486509637932,AUSZOO10,542,Australia Zoo Wildlife Warriors Worldwide,,A,,,Existing,Y,N,,3EF5EFFD-79F4-43D4-AF90-7AC7E7CB3784,Default,,,,Beerwah,,4519,AU,754362016,754948604,,,,
66,66,66,66,ADMIN486509637933,CCDINT20,480,China Construction Shenzhen Design Inter,,A,,,Existing,Y,N,,2EF5BE24-AF67-4F24-8AB8-26C6BE4F45FD,Default,,,,Beijing,,,CN,,,,,,
67,67,67,67,ADMIN486509637934,BOCOGS20,507,Beijing Organising Committee For The Olympics,,A,,,Existing,Y,N,,2A734214-69E9-47FE-A6BE-9D4E01FD3024,Default,,,,Beijing,,,CN,,,,,,
68,68,68,68,ADMIN486509637935,BEMBBE30,526,British Embassy Beijing,,A,,,Existing,Y,N,,6C53BB1E-9826-4902-AD74-ED5C2BCDBB37,Default,,,,Beijing,,,CN,,,,,,
69,69,69,69,ADMIN486509637936,AUSMAR30,2,AMSA,,A,,,Existing,Y,N,,7AAEBCE9-7A6B-40DC-840C-506B94C04D1D,Default,,,,Belconnen,ACT,2616,AU,,,,,,
70,70,70,70,ADMIN486509637937,ABSTAT30,587,Australian Bureau Of Statistics,,A,,,Existing,Y,N,,2A348446-51AD-4C03-82DA-965985B1527E,Default,,,,Belconnen,ACT,2616,AU,,,,,,
71,71,71,71,ADMIN486509637938,BELFAS20,525,Belfast Dept of Culture Arts & Leisure,,A,,,Existing,Y,N,,EF75CFCC-A8BE-4FFC-A0FB-6AC8B73E3942,Default,,,,Belfast,,BT1 5AQ,GB,+44 289 082 3222,+44 289 082 3245,,,,
72,72,72,72,ADMIN486509637939,BBRAUN20,888,B Braun Australia,,A,,,Existing,Y,N,,4A794D85-0993-4515-AB69-65F9F6535CD1,Default,17 Lexington Drive,,,Bella Vista,,2153,AU,,,,,,
73,73,73,73,ADMIN486509637940,SCHMID20,181,Barbara Schmidt,,A,,,Existing,Y,N,,0A0A1DF0-E2E1-42B5-99BD-70677C9DD89E,Default,,,,Bellevue Hill,NSW,2023,AU,,,,,,
74,74,74,74,ADMIN486509637941,CRANSC20,455,Cranbrook School,,A,,,Existing,Y,N,,674FD352-16A2-44BF-A49A-37181A3C9AE3,Default,,,,Bellevue Hill,NSW,2023,AU,,,,,,
75,75,75,75,ADMIN486509637942,BENDBK30,528,Bendigo Bank,,A,,,Existing,Y,N,,CDAE7F45-F96D-4AAF-8614-9C600F40DE05,Default,,,,Bendigo,VIC,3550,AU,,,,,,
76,76,76,76,ADMIN486509637943,BENDCC40,961,Greater Bendigo City Council,,A,,,Existing,Y,N,,4360CD55-AB51-4DFC-8601-E747A8A0A24F,Default,,,,Bendigo,VIC,3550,AU,354346462,,,,,
77,77,77,77,ADMIN486509637944,SUNLAN10,1205,Sunland Group,,A,,,Existing,Y,N,,C959C005-2E34-4558-8965-A28FB3E65361,Default,,,,Benowa,,42147,AU,755643700,,,,,
78,78,78,78,ADMIN486509637945,SNOWRI20,931,Snowy River Shire Council,,A,,,Existing,Y,N,,08A3F46D-C348-4C46-A45A-13ED49C27FB8,Default,,,,Berridale,,2628,AU,264511550,264562534,,,,
79,79,79,79,ADMIN486509637946,RITOSS20,882,Ritossa & Orlovic,,A,,,Existing,Y,N,,420E7113-133B-4977-84EC-8B733D1E6C0D,Default,,,,Berry,,2535,AU,0404 846 543,,,,,
80,80,80,80,ADMIN486509637947,BANANA10,672,Banana Shire Council,,A,,,Existing,Y,N,,EA125FA5-A0CF-4C13-8477-C414303EC6D6,Default,,,,Biloela,,,AU,749929500,,,,,
81,81,81,81,ADMIN486509637948,CAMILL10,492,Camilleri Charlie & Cecilia,,A,,,Existing,Y,N,,C623F94F-CF3B-4D05-92C3-278177E4D898,Default,,,,Blacks Beach,,4740,AU,749549386,,,,,
82,82,82,82,ADMIN486509637949,BLATEN20,945,Blacktown CIty Council,,A,,,Existing,Y,N,,F16AD59D-7FFF-4BA0-9D5F-5D3D62CCF989,Default,,,,Blacktown,,2148,AU,02 9839 6000,,,,,
83,83,83,83,ADMIN486509637950,MARSTO20,1166,Paul Marston,,A,,,Existing,Y,N,,9240E3D1-047B-4B3D-AA08-9123BBDEE934,Default,,,,Bondi,NSW,,AU,,,,,,
84,84,84,84,ADMIN486509637951,SAPPHI20,175,Sapphire One Pty Ltd,,A,,,Existing,Y,N,,6CD0B5E3-B1F8-48B9-BCF0-5F5C6DBE1881,Default,,,,Bondi Beach,NSW,2026,AU,,,,,,
85,85,85,85,ADMIN486509637952,QUILAR10,1231,Larn Qui,,A,,,Existing,Y,N,,867E0087-FF5A-4779-931A-383D02DA687B,Default,,,,Bowen Hills,QLD,4006,AU,,,,,,
86,86,86,86,ADMIN486509637953,MAUNSE30,263,Maunsell,,A,,,Existing,Y,N,,26489D0F-CFF6-465D-A801-01B1DAC52342,Default,,,,Braddon,ACT,2612,AU,,,,,,
87,87,87,87,ADMIN486509637954,GOLDEN30,345,Golden International Invest,,A,,,Existing,Y,N,,F3EF293F-1774-42DE-8326-8AD5163327D3,Default,,,,Braddon,ACT,2612,AU,262571808,,,,,
88,88,88,88,ADMIN486509637955,CONSCL30,448,Construction Control,,A,,,Existing,Y,N,,52955764-0998-4ED8-9CDA-91BBD3F6CD96,Default,,,,Braddon,ACT,2612,AU,,,,,,
89,89,89,89,ADMIN486509637956,POINTC30,745,Point Project Management,,A,,,Existing,Y,N,,457D8BE7-7C6D-4122-826A-B9AA308B107E,Default,,,,Braddon,ACT,2612,AU,261753600,,,,,
90,90,90,90,ADMIN486509637957,WEEFLI20,884,We-ef Lighting,,A,,,Existing,Y,N,,A9ADDAC3-FBFC-4B74-8E98-90BEDCCC9AC2,Default,,,,Braeside,,3195,AU,385870444,385870499,,,,
91,91,91,91,ADMIN486509637958,ROSSCH40,648,Rosamond School,,A,,,Existing,Y,N,,8B8C4E32-6714-45C5-9340-C1DA81A571CE,Default,,,,Braybrook,,,AU,393184511,393177604,,,,
92,92,92,92,ADMIN486509637959,CRAIGI40,682,Craigieburn Library & Learning,,A,,,Existing,Y,N,,01B311DA-B606-420C-96AC-7080044E71E8,Default,1079 Pascoe Vale Road,,,Breadmedows,,,AU,,,,,,
93,93,93,93,ADMIN486509637960,QMSAPA10,1241,QMS APAC,,A,,,Existing,Y,N,,FF8AAE9D-9ECD-4CD3-90A1-8308D18B745E,Default,,,,Brighton,VIC,3138,AU,395921100,,,,,
94,94,94,94,ADMIN486509637961,CARPEN10,5,Jason Carpenter,,A,,,Existing,Y,N,,853A8A24-F319-43B8-8B56-FC38BAA7C07B,Default,,,,Brisbane,QLD,,AU,,,,,,
95,95,95,95,ADMIN486509637962,COFFEY10,7,Coffey Projects,,A,,,Existing,Y,N,,E8F97C79-0DF9-4CFB-B0CA-A9D4ADDB7BC1,Default,,,,Brisbane,QLD,,AU,02 35036200,,,,,
96,96,96,96,ADMIN486509637963,FKPCON10,10,Aveo Group Limited,,A,,,Existing,Y,N,,55D3DD66-343A-42CC-B996-7D62866533D1,Default,,,,Brisbane,QLD,4001,AU,,,,,,
97,97,97,97,ADMIN486509637964,LEIGTN10,14,Leighton Properties,,A,,,Existing,Y,N,,D31062D5-F240-4A4B-AD60-40DE58258851,Default,Waterfront Place,1 Eagle Street,,Brisbane,QLD,4000,AU,733704700,,,,,
98,98,98,98,ADMIN486509637965,QLDGOV10,21,Qld Government,,A,,,Existing,Y,N,,1981C969-26FA-4328-9718-DDB753A3B3F1,Default,,,,Brisbane,QLD,,AU,732478839,,,,,
99,99,99,99,ADMIN486509637966,WBENTE10,33,WB Enterprises,,A,,,Existing,Y,N,,4B6656BB-747B-4AF3-A71E-67937DC4FE77,Default,,,,Brisbane,QLD,4001,AU,,,,,,
100,100,100,100,ADMIN486509637967,VINTAG10,44,Vintage Property Group,,A,,,Existing,Y,N,,726DC3D1-82F1-4A8D-9468-870C5D9FC0A2,Default,,,,Brisbane,QLD,4000,AU,,,,,,
101,101,101,101,ADMIN486509637968,URSAUS20,49,URS Australia Pty Ltd,,A,,,Existing,Y,N,,C14737C7-C775-40F4-B7A6-E2BAC338248F,Default,240 Queen Street,,,Brisbane,QLD,4000,AU,732432111,732432199,,,,
102,102,102,102,ADMIN486509637969,TURRIS10,59,Turrisi Properties Pty Ltd,,A,,,Existing,Y,N,,97015D04-75D3-429B-8C4E-189B71A227A9,Default,,,,Brisbane,QLD,4000,AU,,,,,,
103,103,103,103,ADMIN486509637970,UNIQLD10,61,UQ School Of Business Downtown,,A,,,Existing,Y,N,,E21BA9EF-E6CC-480A-A0F3-4D5A642899FB,Default,,,,Brisbane,QLD,4001,AU,,,,,,
104,104,104,104,ADMIN486509637971,UNIVQD10,68,University of QLD,,A,,,Existing,Y,N,,4A74B5A2-2D5E-422C-A19F-F0421181F0F5,Default,,,,Brisbane,QLD,,AU,733462117,,,,,
105,105,105,105,ADMIN486509637972,URBAND10,70,Urban Development Inst of Australia,,A,,,Existing,Y,N,,8D4EFBE9-6B08-4518-AD8A-9FDB6ED8AA98,Default,,,,Brisbane,QLD,4001,AU,732291589,,,,,
106,106,106,106,ADMIN486509637973,URBANP10,71,Urban Pacific,,A,,,Existing,Y,N,,1B48D07D-23F3-46EF-B9AA-EBAE39512C80,Default,,,,Brisbane,QLD,4001,AU,,,,,,
107,107,107,107,ADMIN486509637974,THIESS10,76,Thiess Contractors Pty Ltd,,A,,,Existing,Y,N,,E3CDAC05-60A2-4F4F-B505-6E86212BB3CF,Default,,,,Brisbane,QLD,4001,AU,,,,,,
108,108,108,108,ADMIN486509637975,THINCP10,79,Thinc Projects,,A,,,Existing,Y,N,,BBA6D0AC-54E8-4A59-9485-82D7BE5935DF,Default,,,,Brisbane,QLD,4000,AU,,,,,,
