,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,VisionClientID,EpicorCustomerID,ClientNumber,Name,Type,Status,WebSite,Memo,CurrentStatus,ClientInd,VendorInd,LinkedVendor,VisionClientAddressID,AddressDescription,Address2,Address3,Address4,City,State,Zip,Country,Phone,FAX,GoogleAddress,GooglePhone,googleExtras,googled
10,10,10,10,10,10,ADMIN486509637877,SANTO20,968,Santos,,A,,,Existing,Y,N,,44C27A8C-76A2-45AE-BEE0-206340919E2F,Default,,,,Adelaide,SA,,AU,,,"Address: Ground, 60 Flinders Street, Adelaide SA 5000",Phone:(08) 8116 5000, | See outside | Santos | Corporate Office | 1 Google review,True
11,11,11,11,11,11,ADMIN486509637878,ORIGIN20,1194,Origin Energy,,A,,,Existing,Y,N,,203E62C1-E4DD-4353-8BD3-5EA002C8A24B,Default,,,,Adelaide,SA,,AU,,,,,,True
12,12,12,12,12,12,ADMIN486509637879,SWANBU20,1218,Swanbury Penglase,,A,,,Existing,Y,N,,A16091F2-65E8-4D44-87D5-2235C6279EA7,Default,,,,Adelaide,SA,5000,AU,,,"Address: 244 Gilbert St, Adelaide SA 5000",Phone:(08) 8212 2679, | See outside | Swanbury Penglase Architects | Architect | Hours: Open today  8:30 am  5:30 pm | Williams Burton Architects | Woods Bagot | C4 Architects Pty Ltd,True
13,13,13,13,13,13,ADMIN486509637880,SHARPE10,185,Sharpe Development Group Pty Ltd,,A,,,Existing,Y,N,,9B2FA623-20F6-40CC-A250-39A298A7F3C0,Default,,,,Airlie Beach,QLD,4802,AU,,,,,,True
14,14,14,14,14,14,ADMIN486509637881,HOBSON10,806,Grant Hobson Consulting,,A,,,Existing,Y,N,,1CF1F0CA-BB17-44E2-A747-CFFADB43DBD0,Default,,,,Albert Park,,3206,AU,437472682,,,,,True
15,15,15,15,15,15,ADMIN486509637882,CATWOR10,478,Catalyst Works,,A,,,Existing,Y,N,,F63D8CC2-6053-4687-A5F3-D969251B6EBF,Default,,,,Albion,,4010,AU,,,,,,True
16,16,16,16,16,16,ADMIN486509637883,CTRAPP10,654,Colin Trapp & Associates Pty L,,A,,,Existing,Y,N,,F0494D7F-9A2E-4BA6-8C56-8A5CCDCB7803,Default,,,,Albion,,4010,AU,,,"Address: 349 Sandgate Rd, Albion QLD 4010",Phone:(07) 3862 3555, | See outside | Trapp Colin & Associates PTY LTD | Architect,True
17,17,17,17,17,17,ADMIN486509637884,RNAASS10,1068,RNA,,A,,,Existing,Y,N,,1CD632D8-9BAB-4865-8096-F4112B0B4E52,Default,,,,Albion,,4010,AU,732533968,,,,,True
18,18,18,18,18,18,ADMIN486509637885,JOSSCO20,975,Joss Constructions,,A,,,Existing,Y,N,,244C7194-4305-43B9-9C46-8CE78DADB72B,Default,,,,Albury,NSW,2640,AU,260511900,,"Address: 215 East St, Albury NSW 2640",Phone:(02) 6051 1900, | See outside | Joss Distribution | Cleaning Service | View 5+ | Programmed Maintenance | Yellow Pages | Cleaner N' Cleaner,True
19,19,19,19,19,19,ADMIN486509637886,FUGENG20,363,Fugen Group,,A,,,Existing,Y,N,,8B2DD220-FB90-4145-9635-DD25D86811E6,Default,,,,Alexandria,,1435,AU,295505344,295164067,"Address: 9-13 Underwood Ave, Botany NSW 2019",Phone:(02) 9289 3700, | See outside | Fugen Holdings | Bricklayers | Peter THE Builder PTY Ltd. | Mirvac | Landmark Masonry,True
20,20,20,20,20,20,ADMIN486509637887,INFINI20,820,Infinity Construction Group,,A,,,Existing,Y,N,,F6307550-CA53-485F-A90C-E77AEE51BEAE,Default,290 Botany Road,,,Alexandria,,2015,AU,,,"Address: 290 Botany Rd, Alexandria NSW 2015",Phone:(02) 9332 4722, | See outside | Infinity Constructions Group Pty Ltd | Builder | Hours: Open today  8:00 am  6:00 pm | 1 Google review | Kane Constructions | Waterway Constructions | Taylor Group's,True
21,21,21,21,21,21,ADMIN486509637888,PEACEO20,906,Peace of Mind Technology,,A,,,Existing,Y,N,,CF969981-276D-463A-BC2B-B3EA556232A7,Default,,,,Alexandria,,1435,AU,1300 660 610,1300 826 011,"Address: 2/10 Bond St, Sydney NSW 2000",Phone:1300 660 610, | Peace of Mind Technology | Business Management Consultant | Hours: Open today  7:00 am  6:00 pm,True
22,22,22,22,22,22,ADMIN486509637889,KANECO,1224,KANECO,,A,,,Existing,Y,N,,AFB299F4-2FC3-45E8-9AD4-9C2A318660E2,Default,,,,Alexandria,,,AU,,,,,,True
23,23,23,23,23,23,ADMIN486509637890,BORNST10,1031,Josh & Tali Bornstein,,A,,,Existing,Y,N,,6E7174B9-65FF-4E1B-AB00-F635BFBBD44A,Default,,,,Alphington,,3078,AU,,,,," | See results about | Josh (2000 film) | Initial release: June 9, 2000 (India) | Director: Mansoor Khan",True
24,24,24,24,24,24,ADMIN486509637891,HOBSON40,669,Hobson Bay City Council,,A,,,Existing,Y,N,,663FC39C-A7F7-41EA-B73D-C98CA76DB274,Default,,,,Altona,,3018,AU,399321087,,"Address: 115 Civic Parade, Altona VIC 3018",Phone: (03) 9932 1000," | City of Hobsons Bay | Australian local government area | The City of Hobsons Bay is a local government area in Melbourne, Victoria, Australia. It comprises the south-western suburbs between 6 and 20 km from the Melbourne city centre. Wikipedia | Area: 65 km | Founded: June 1994 | Council seat: Altona | Region: Melbourne | Federal divisions: Division of Gellibrand, Division of Lalor | View 15+ more | Brimbank City Council | Hobsons Bay Library | Yarraville Oval | Hobson's Bay Caravan Park | Red Rooster Altona Meadows",True
25,25,25,25,25,25,ADMIN486509637892,ANNECY20,811,Annecy 2018 Candidate City,,A,,,Existing,Y,N,,09ED670B-7EBF-4E86-8736-64E8D5A8FBF6,Default,,,,Annecy,,,AU,33450334993,,,,,True
26,26,26,26,26,26,ADMIN486509637893,INSIGH10,1098,Insight Interiors,,A,,,Existing,Y,N,,2B1BDECD-F666-4544-9499-ACFC3CEB5AAA,Default,,,,Archerfield,,4108,AU,,,"Address: 105 Colebard St W, Acacia Ridge QLD 4110",Phone:(07) 3274 6810, | See outside | Insight Interiors | Interior Designer | View 15+ more | Formula Interiors | Empire Business Furniture | Isis Group Australia Pty LTD | Quadric | Absoe,True
27,27,27,27,27,27,ADMIN486509637894,MACKAY20,733,Roz Mackay,,A,,,Existing,Y,N,,9B931F83-B3DB-448A-9DB2-B0C59C82B84C,Default,,,,Armadale,,,AU,400982450,,,,,True
28,28,28,28,28,28,ADMIN486509637895,ELLABA20,379,Ella Bache,,A,,,Existing,Y,N,,64A89A33-F420-490E-9EAB-0022F545D4D9,Default,,,,Artarmon,,2064,AU,294325016,294397150,,,,True
29,29,29,29,29,29,ADMIN486509637896,CLARKE10,446,Clark Enterprises,,A,,,Existing,Y,N,,21029E44-95E4-4BA2-8908-675F6C02BC03,Default,,,,Ascot,QLD,4007,AU,,,"Address: 95 Anthony St, Ascot QLD 4007",Phone:(07) 3862 1939, | See outside | David Clark Enterprises | Real Estate Developer,True
30,30,30,30,30,30,ADMIN486509637897,SHMBRI10,1259,shm,,A,,,Existing,Y,N,,516C6169-9033-4310-88E8-4A624323DA38,Default,138 Racecourse Rd,,,Ascot,,,AU,733982920,,,,,True
31,31,31,31,31,31,ADMIN486509637898,PAYNTE20,218,Paynter Dixon Construction,,A,,,Existing,Y,N,,A9C08356-2BB2-477A-922E-D97D2957E644,Default,,,,Ashfield,NSW,2131,AU,,,"Address: 320 Liverpool Rd, Ashfield NSW 2131",Phone:(02) 9797 5555, | See outside | Paynter Dixon Constructions Pty Limited | Construction Company,True
32,32,32,32,32,32,ADMIN486509637899,SPIRES10,704,Jim and Sue Spires,,A,,,Existing,Y,N,,63DCA682-0B26-4E41-ABC3-4E4EE3CADE17,Default,,,,Ashgrove,,,AU,738769011,,,,,True
33,33,33,33,33,33,ADMIN486509637900,BISHOC10,533,Dr Chris Bishop,,A,,,Existing,Y,N,,EDD616DA-571A-4A64-979F-D6ECE9CEDB1B,Default,,,,Ashgrove West,QLD,4060,AU,,,,,,True
34,34,34,34,34,34,ADMIN486509637901,OCTANZ20,19,OCTA Associates New Zealand,,A,,,Existing,Y,N,,F4362E9E-19F9-42E2-BBA0-88392E3924D5,Default,,,,Auckland,,,NZ,,,"Address: level 4, 130 Khyber Pass Rd, Grafton, Auckland 1023, New Zealand",Phone:+64 9-379 3805, | See outside | Octa Associates Limited | Consultant | View 15+ more | Greenstone Group | The Building Intelligence Group | The Cloud | Rider Levett Bucknall | JLL New Zealand,True
35,35,35,35,35,35,ADMIN486509637902,SMALES20,98,Smales Farm Technology Office Park,,A,,,Existing,Y,N,,67CBCDC5-DB71-49C1-A52A-646645982444,Default,North Shore City,,,Auckland,,,NZ,,,"Address: 78 - 94 Taharoto Rd, North Shore City 0622, New Zealand",Phone:+64 9-366 6400, | See outside | Smales Farm Bus Station | Bus Interchange | Hours: Open today  8:00 am  5:30 pm | 2 Google reviews | View 15+ more | Britomart Transport Centre | Highbury Shopping Centre | Windy Ridge School | North Shore Hospital | Smales Farm Station Platform 3b,True
36,36,36,36,36,36,ADMIN486509637903,NORTHC20,194,Northcote Road 1 Holdings Ltd,,A,,,Existing,Y,N,,453F7DA0-3D17-4058-9505-3D7FD6BDE0CE,Default,North Shore,,,Auckland,,,NZ,+64 9 488 2305,+64 9 488 2303,,,,True
37,37,37,37,37,37,ADMIN486509637904,AUCKLA20,575,Auckland Regional Transport,,A,,,Existing,Y,N,,629ED9FA-1007-46EB-AA88-0AB26CA68F60,Default,,,,Auckland,,,NZ,,,,,,True
38,38,38,38,38,38,ADMIN486509637905,AIRNZS20,688,Air New Zealand,,A,,,Existing,Y,N,,EACD3CB5-0D83-4A31-A988-5FEE8391EC43,Default,,,,Auckland,,1142,NZ,+64 9 336 2812,,,,,True
39,39,39,39,39,39,ADMIN486509637906,CHRIST20,726,Christchurch International Airport,,A,,,Existing,Y,N,,30792BC7-E64F-43C9-BE5B-436FB6C32DB2,Default,,,,Auckland,,1140,NZ,+64 9 379 3805,,,,,True
40,40,40,40,40,40,ADMIN486509637907,AUCTHE20,792,Auckland Theatre Company,,A,,,Existing,Y,N,,1C4AB6D2-671A-413E-B2D0-1C04A5AD03C6,Default,,,,Auckland,,,NZ,+64 9 309 0390,,"Address: 487 Dominion Rd, Mount Eden, Auckland 1024, New Zealand",Phone:+64 9-309 3395, | See outside | Auckland Theatre Company | Office | View 15+ more | Q Theatre | Maidment Theatre | The Civic | The Basement | Silo Theatre,True
41,41,41,41,41,41,ADMIN486509637908,JASMAX20,889,Jasmax Ltd,,A,,,Existing,Y,N,,2CFFA1A1-FC6C-435A-AD2E-293B72FAE303,Default,,,,Auckland,,,NZ,+64 9 366 9625,+64 9 366 9629,"Address: 2 Marston St, Parnell, Auckland 1052, New Zealand",Phone:+64 9-366 9626, | See outside | Jasmax | Architect | 2 Google reviews | View 15+ more | PATTERSON ASSOCIATES LTD | Isthmus Group | Crosson Clark Carnachan Architects Limited | Fearon Hay Architects | Stevens Lawson Architects Limited,True
42,42,42,42,42,42,ADMIN486509637909,DNZPRO20,909,DNZ Property Fund Ltd,,A,,,Existing,Y,N,,1BC56140-3C9F-42F0-A7AF-49585F8F4A76,Default,,,,Auckland,,1141,NZ,+64 9 913 2817,+64 9 912 2693,"Address: 2/80 Greys Ave, Auckland, 1010, New Zealand",Phone:+64 9-912 2690," | See outside | DNZ Property Fund Limited | Property Investment | Hours: Open today  12:00 am  5:00 pm, 8:30 pm  12:00 am | View 10+ more | Property Council Of New Zealand | Colliers International NZ | RCG Limited | Rawa Strategic Property Partners | Kiwi Income Property Trust",True
43,43,43,43,43,43,ADMIN486509637910,MINEDU20,996,Ministry of Education,,A,,,Existing,Y,N,,B21F71DE-3EDF-49E5-86EF-3B8E42957E2F,Default,,,,Auckland,,,NZ,,,,,,True
44,44,44,44,44,44,ADMIN486509637911,ARCHIA20,1190,Architectus Auckland,,A,,,Existing,Y,N,,BF441F58-6874-41DB-9EBF-422170ECB703,Default,,,,Auckland,,,NZ,+64 9 307 5970,,,,,True
45,45,45,45,45,45,ADMIN486509637912,CCFIJI20,1201,BA Chamber of Commerce,,A,,,Existing,Y,N,,88716A8B-47C4-4859-8A5A-DCF501AED935,Default,,,,BA,,,FJ,,,"Address: 210 N Main St, Broken Arrow, OK 74012, United States",Phone:+1 918-251-1518, | See outside | Broken Arrow Area Chamber of Commerce & Economic Development Corporation | Chamber of Commerce | Hours: Closed now  Hours | 1 Google review | View 15+ more | City of Broken Arrow | Broken Arrow Ledger | Broken Arrow Public Schools | Park Lane Elementary School | AVB Bank,True
46,46,46,46,46,46,ADMIN486509637913,WOODWA20,1255,Matthew Woodward,,A,,,Existing,Y,N,,05790198-0783-46C3-B98A-86534E65CE94,Default,383 Sydney Road,,,Balgowlah,,2093,AU,,,"Address: 5/383 Sydney Rd, Balgowlah NSW 2093",Phone:(02) 8040 4140, | See outside | Matthew Woodward Architecture | Architect,True
47,47,47,47,47,47,ADMIN486509637914,DEECDV40,638,DEECD,,A,,,Existing,Y,N,,E7F7E121-E60B-49B0-8632-16A8DE7056DD,Default,,,,Ballarat,VIC,3353,AU,,,,,,True
48,48,48,48,48,48,ADMIN486509637915,BALLAR40,699,City of Ballarat,,A,,,Existing,Y,N,,F2BD4F4C-CBD2-4A43-A241-D769A37B2BEC,Default,,,,Ballarat,VIC,3353,AU,353205500,,,,,True
49,49,49,49,49,49,ADMIN486509637916,UNIBAL40,1084,University of Ballarat,,A,,,Existing,Y,N,,8D8CBD3D-2980-440E-A123-8CE4E22138B1,Default,,,,Ballarat,VIC,3353,AU,1300225527,,"Address: University Dr, Mount Helen VIC 3350",Phone: 1800 333 864," | Federation University Australia | University in Ballarat, Victoria | Federation University Australia is a dual-sector university with multiple campuses in Victoria, Australia. Wikipedia | Founded: 1994 | Vice-chancellor: David Battersby | Profiles | LinkedIn | Notable alumni | View 5+ more | Kiran MazumdarShaw | Steve Bracks | Libby Tanner | Steve Moneghetti | Isaac Smith | View 10+ more | Melbourne Institute of Technology | Melbourne | Deakin University | Geelong | Monash University, Gippslan... | Churchill | Monash University | Melbourne | La Trobe University | Melbourne",True
50,50,50,50,50,50,ADMIN486509637917,UNIBAL20,1151,University of Ballarat,,A,,,Existing,Y,N,,0C599358-A69E-4AA7-B50E-62D1D4ADF5FA,Default,,,,Ballarat,VIC,3353,AU,,,"Address: University Dr, Mount Helen VIC 3350",Phone: 1800 333 864," | Federation University Australia | University in Ballarat, Victoria | Federation University Australia is a dual-sector university with multiple campuses in Victoria, Australia. Wikipedia | Founded: 1994 | Vice-chancellor: David Battersby | Profiles | LinkedIn | Notable alumni | View 5+ more | Kiran MazumdarShaw | Steve Bracks | Libby Tanner | Steve Moneghetti | Isaac Smith | View 10+ more | Melbourne Institute of Technology | Melbourne | Deakin University | Geelong | Monash University, Gippslan... | Churchill | Monash University | Melbourne | La Trobe University | Melbourne",True
51,51,51,51,51,51,ADMIN486509637918,BALLIN10,551,Ballina Shire Council,,A,,,Existing,Y,N,,6AE80E38-B384-4D7A-AD7F-F37BB2D94760,Default,,,,Ballina,,2478,AU,266864444,,"Address: Cherry St, Ballina NSW 2478",Phone:(02) 6686 4444, | See outside | Ballina Shire Council | Council | View 15+ more | Woolworths | Ballina Visitor Information Centre | Ballina RSL | Ballina Fair Shopping Centre | Beaumont Tiles,True
52,52,52,52,52,52,ADMIN486509637919,ARDILL10,564,Ardill Payne & Partners,,A,,,Existing,Y,N,,28395E9B-4D92-4DC5-967C-1591359D41A5,Default,,,,Ballina,,2478,AU,,,,,,True
53,53,53,53,53,53,ADMIN486509637920,LACHLA20,301,Lachlan Project Management,,A,,,Existing,Y,N,,E63BD266-6B20-4CCD-AE9F-3C787C7A6FE7,Default,,,,Balmain,NSW,2041,AU,,,"Address: 21 Elliott St, Balmain NSW 2041",Phone:(02) 9810 9848, | See outside | Lachlan Project Management | Building Consultant,True
54,54,54,54,54,54,ADMIN486509637921,TANKIM20,1212,Kim Tan,,A,,,Existing,Y,N,,C7047020-55A5-4BEF-8757-8AA34E86A1CB,Default,,,,Balmain,NSW,,AU,419485536,,,,,True
55,55,55,55,55,55,ADMIN486509637922,BEAMON20,1148,Beamont Partnership,,A,,,Existing,Y,N,,813FF110-7132-410E-A696-667CCEE86780,Default,Liberty Square,287 Silon Rd,,Bangkok,,,AU,,,"Address: Silom 2/1, Silom, Bang Rak, Bangkok 10500, Thailand",Phone:+66 2 631 1860," | THE BEAUMONT PARTNERSHIP | Architect | Hours: Open today  8:30 am  5:30 pm | View 15+ more | Palmer & Turner (Thailand) Co.,LTD. | Bara Scientific | Satake International Bangkok | Cornerstone Management Company Limited | Blink Design Group",True
56,56,56,56,56,56,ADMIN486509637923,BEAUMO20,1149,Beaumont Partnership,,A,,,Existing,Y,N,,8C09C7BB-CB93-4CE5-B999-C0C0EC4B2750,Default,Liberty Square,287 Silon Rd,,Bangkok,,,TH,,,"Address: Silom 2/1, Silom, Bang Rak, Bangkok 10500, Thailand",Phone:+66 2 631 1860," | THE BEAUMONT PARTNERSHIP | Architect | Hours: Open today  8:30 am  5:30 pm | View 15+ more | Palmer & Turner (Thailand) Co.,LTD. | Bara Scientific | Satake International Bangkok | Cornerstone Management Company Limited | Blink Design Group",True
57,57,57,57,57,57,ADMIN486509637924,BANYUL40,719,Banyule City Council,,A,,,Existing,Y,N,,E0E60DF2-3053-4904-8202-E8C05A63D12D,Default,,,,Banyule,VIC,,AU,394904501,,"Address: 275 Upper Heidelberg Rd, Ivanhoe VIC 3079",Phone: (03) 9490 4222," | City of Banyule | Australian local government area | The City of Banyule is a local government area in Victoria, Australia in the north-eastern suburbs of Melbourne. It has an area of 63 square kilometres and lies between 7 and 21 km from central Melbourne. Wikipedia | Area: 63 km | Founded: 1994 | Council seat: Ivanhoe | Hours: Open today  8:30 am  5:00 pm | Federal divisions: Division of Jagajaga | View 15+ more | Darebin City Council | WaterMarc | RMIT University Bundoora Campus East | Greensborough Plaza | Eltham Library",True
58,58,58,58,58,58,ADMIN486509637925,DOMAGP20,1265,DOMA Group,,A,,,Existing,Y,N,,8BE59B92-A030-48F5-B511-600C55166C68,Default,,,,Barton,ACT,,AU,,,"Address: 4/3 Sydney Ave, Barton ACT 2600",Phone:(02) 6260 7750, | See outside | The Doma Group | Property Management Company | Hours: Open today  9:00 am  5:00 pm | View 15+ more | Hotel Realm Canberra | Canberra | Burbury Hotel Canberra | Willemsen Group | Australian Hotels Association,True
59,59,59,59,59,59,ADMIN486509637926,DFATRA30,9,Department Of Foreign Affairs & Trade,,A,,,Existing,Y,N,,35435541-B429-4012-AACB-E02EB13D0358,Default,,,,Barton,ACT,2600,AU,,,,,,True
60,60,60,60,60,60,ADMIN486509637927,STURTU30,112,Charles Sturt University,,A,,,Existing,Y,N,,AFAF1F03-2957-454B-992E-CEE12D7F8E55,Default,,,,Barton,ACT,2600,AU,,,"Address: 15 Blackall St, Barton ACT 2600",Phone:(02) 6273 1572, | See outside | Charles Sturt University Canberra Campus | University | View 5+ more | University Health Services | The John Curtin School of Medical Research | St Mark's National Theological Centre | Universal Medical Imaging | Uni Pub,True
61,61,61,61,61,61,ADMIN486509637928,CSUNIV20,461,Charles Sturt University,,A,,,Existing,Y,N,,B5E6F96F-8FC4-48A4-BC21-F34E158DCA0D,Default,,,,Barton,ACT,2600,AU,,,"Address: 15 Blackall St, Barton ACT 2600",Phone:(02) 6273 1572, | See outside | Charles Sturt University Canberra Campus | University | View 5+ more | University Health Services | The John Curtin School of Medical Research | St Mark's National Theological Centre | Universal Medical Imaging | Uni Pub,True
62,62,62,62,62,62,ADMIN486509637929,ATTORN30,574,Attorney Generals Department A,,A,,,Existing,Y,N,,A05C8C30-0313-42D2-88FD-0A17231765B1,Default,,,,Barton,ACT,2600,AU,,,,,,True
63,63,63,63,63,63,ADMIN486509637930,SANDRI20,1060,Sandrick Project Directions,,A,,,Existing,Y,N,,E3E8FBB7-B19A-46DB-961A-6C8C0C771950,Default,,,,Baulkham Hills,,,AU,,,"Address: 412/4 Columbia Ct., Baulkham Hills NSW 2153",Phone:(02) 8860 9494, | See outside | Sandrick PTY Ltd. | Business Management Consultant | View 1+ more | Oakhill College | Coles Westmead | Woolworths Norwest (Support Office),True
64,64,64,64,64,64,ADMIN486509637931,SIEMEN10,1059,Siemens Ltd Australia,,A,,,Existing,Y,N,,FA358993-D771-4E00-B965-A59570250BC0,Default,,,,Bayswater,,3153,AU,397212436,,"Address: 885 Mountain Hwy, Bayswater VIC 3153",Phone:13 72 22, | See outside | Siemens Australia | Corporate Office | Hours: Open today  8:30 am  5:30 pm | 1 Google review | View 10+ more | Priceline | Eaton Industries | ABB Australia | Atos Australia | Glen Dimplex Australia,True
65,65,65,65,65,65,ADMIN486509637932,AUSZOO10,542,Australia Zoo Wildlife Warriors Worldwide,,A,,,Existing,Y,N,,3EF5EFFD-79F4-43D4-AF90-7AC7E7CB3784,Default,,,,Beerwah,,4519,AU,754362016,754948604,Address: Beerwah QLD 4519,Phone:(07) 5436 2026, | See outside | Australia Zoo Wildlife Warriors Worldwide | Animal Protection Organization | Hours: Open today  8:00 am  5:00 pm | 2 Google reviews,True
66,66,66,66,66,66,ADMIN486509637933,CCDINT20,480,China Construction Shenzhen Design Inter,,A,,,Existing,Y,N,,2EF5BE24-AF67-4F24-8AB8-26C6BE4F45FD,Default,,,,Beijing,,,CN,,,,,,True
67,67,67,67,67,67,ADMIN486509637934,BOCOGS20,507,Beijing Organising Committee For The Olympics,,A,,,Existing,Y,N,,2A734214-69E9-47FE-A6BE-9D4E01FD3024,Default,,,,Beijing,,,CN,,,,,,True
68,68,68,68,68,68,ADMIN486509637935,BEMBBE30,526,British Embassy Beijing,,A,,,Existing,Y,N,,6C53BB1E-9826-4902-AD74-ED5C2BCDBB37,Default,,,,Beijing,,,CN,,,,,,True
69,69,69,69,69,69,ADMIN486509637936,AUSMAR30,2,AMSA,,A,,,Existing,Y,N,,7AAEBCE9-7A6B-40DC-840C-506B94C04D1D,Default,,,,Belconnen,ACT,2616,AU,,,"Address: 82 Northbourne Ave, Braddon ACT 2612",Phone:(02) 6279 5000, | See outside | Australian Maritime Safety Authority | Government Office | Hours: Open today  8:00 am  5:00 pm | View 2+ more | Australia Post - Canberra Gpo Post Shop | National Convention Centre Canberra | Australian Pharmacy Council | Department of Infrastructure and Transport | Australian Transport Safety Bureau,True
70,70,70,70,70,70,ADMIN486509637937,ABSTAT30,587,Australian Bureau Of Statistics,,A,,,Existing,Y,N,,2A348446-51AD-4C03-82DA-965985B1527E,Default,,,,Belconnen,ACT,2616,AU,,,"Address: 45 Benjamin Way, Belconnen ACT 2617",Phone:(02) 6252 5000, | See outside | Australian Bureau of Statistics | Federal Government Office | 1 Google review | View 5+ more | Department of Immigration and Citizenship | Australia Post - Belconnen Post Shop | Bureau of Meteorology | ABC | Government House Canberra,True
71,71,71,71,71,71,ADMIN486509637938,BELFAS20,525,Belfast Dept of Culture Arts & Leisure,,A,,,Existing,Y,N,,EF75CFCC-A8BE-4FFC-A0FB-6AC8B73E3942,Default,,,,Belfast,,BT1 5AQ,GB,+44 289 082 3222,+44 289 082 3245,"Address: Belfast, County Antrim BT2 7EG, United Kingdom",Phone:+44 28 9025 8825, | See outside | The Department Of Culture Arts & Leisure | Council,True
72,72,72,72,72,72,ADMIN486509637939,BBRAUN20,888,B Braun Australia,,A,,,Existing,Y,N,,4A794D85-0993-4515-AB69-65F9F6535CD1,Default,17 Lexington Drive,,,Bella Vista,,2153,AU,,,"Address: 17-19 Lexington Dr, Bella Vista NSW 2153",Phone:(02) 9629 0200, | See outside | B. Braun Australia | Surgical Supply Store | Located in: Norwest Business Park West | View 15+ more | Vetquip | Norwest General Practice - (Bella Vista) | Toongabbie Family Practice | Cosmac Surgical | DeVilbiss Healthcare,True
